provider,instance,bench_key,bench_name,extracted_name,unit,avg,min,max,std,score_$,std_perc,integral_neg,integral_neg_th_5,integral_neg_th_10,integral_neg_th_20,grad_std_perc
aws,a1.large - eu-central-1a,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.3496433831319562,0.2588950634002686,0.7746523380279541,0.09823873475254036,49.14187258538185,0.2809683794744225,0.12416247600220963,0.12403246216105022,0.12151258954080267,0.09517358588291241,0.19786691611436594
aws,a1.large - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.3400078101458003,0.2597354412078857,0.6438236713409424,0.09408591627734728,50.53451735954093,0.27671692669942455,0.1232378807040176,0.12315340049555494,0.12181290543520651,0.10389216419761664,0.19744154597675603
aws,a1.xlarge - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.3183822682988629,0.25814113616943357,0.9234545707702637,0.08490819711922358,26.98349169380204,0.2666863251301449,0.08309645338990689,0.0783378765667897,0.06895038024290794,0.06519484900880182,0.15232370561183287
aws,m5.large - eu-central-1a,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.17007838442058068,0.09569010734558106,0.5274240493774414,0.09008927921985822,51.1273211086594,0.5296927033189573,0.2349744821773799,0.23492055124066913,0.2345378036387707,0.23297205064383478,0.37769353866697225
aws,m5.large - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.17383012383551544,0.09633073806762696,0.5668768405914306,0.09303674759013247,50.023850769048494,0.5352164834109382,0.23546070275260667,0.23542621377873085,0.23523225575066267,0.2331656005550211,0.3780766852149643
aws,m5.xlarge - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.12328568921871162,0.09298968315124512,0.27878479957580565,0.031700171827000447,35.266267435495934,0.25712774960249946,0.11374639835627864,0.1134983496509783,0.11105122689953101,0.08950854620070292,0.18594568355154556
aws,a1.large - eu-central-1a,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,20957.497538018906,11900.949999999999,21373.670000000002,643.1542027957915,360094.4594161324,0.03068850188955281,-0.006443574749604531,9.640129423460773e-05,9.640129423460773e-05,9.640129423460773e-05,0.02250915423213981
aws,a1.large - eu-central-1b,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,20970.07530620633,16120.176666666666,21439.343333333334,432.5230631221143,360310.5722715864,0.02062572770037236,-0.0062203287648529846,9.537597981321292e-05,9.537597981321292e-05,9.537597981321292e-05,0.014085776500175111
aws,a1.xlarge - eu-central-1b,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,36603.57509247842,30684.440000000002,40986.98,817.1480533727615,314463.70354362903,0.02232426890838527,-0.007760439869950954,-0.0012906249696173462,-0.00016335887598521476,-1.569739155279911e-05,0.015264984838455408
aws,m5.large - eu-central-1a,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,15614.801989313604,14115.086666666668,17325.329999999998,129.66012368774324,135780.88686359656,0.008303667492964658,-0.0012094785623500994,-0.0001279528562185141,-0.0001279528562185141,7.1214839816110425e-06,0.005824314066209018
