provider,instance,bench_key,bench_name,unit,avg,min,max,1st_quartile,2nd_quartile,3rd_quartile,iqr,std,cpr,deg,std_perc,grad_std_perc,pqi
egi,T1-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.33855454296038295,0.24502196311950683,0.6375227451324463,0.27949370145797725,0.3060656309127807,0.39222854375839233,0.11273484230041508,0.07059978592642009,0.024129459385872413,0.09075379920389987,0.20853297465478568,0.14597390250656714,0.1484202254550842
egi,T1-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.2026956520686492,0.1290517807006836,0.44620490074157715,0.14787129163742063,0.1742943525314331,0.25034736394882207,0.10247607231140143,0.06191043017605551,0.014446524514236765,0.1350156208032752,0.30543541286760123,0.2161769205593937,0.21887598474342337
egi,T2-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.1677341721993125,0.1286111831665039,0.2578784465789795,0.14828947782516477,0.1613922119140625,0.1851164937019348,0.036827015876770036,0.023269140606951344,0.0239094998419788,0.05916664644615225,0.13872629710361858,0.0968349042823486,0.0982426159440398
egi,T3-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.19807541449425628,0.131072998046875,0.4768246650695801,0.14787529706954958,0.15867969989776612,0.24561980962753294,0.09774451255798336,0.062277757476693216,0.02476101141509799,0.1372984923449294,0.3144143741196065,0.22885053465554,0.22685446704002526
egi,T3-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.3284987927800384,0.23256072998046876,0.5351139545440674,0.2739810347557068,0.29621233940124514,0.38212873935699465,0.10814770460128786,0.06631796455293033,0.041064977087847045,0.0890082616996305,0.20188191253821927,0.14374766930874971,0.1448792811821998
egi,T4-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.29564473102105915,0.23118367195129394,0.41861543655395506,0.27200992107391353,0.2903269290924072,0.3160988807678222,0.04408895969390869,0.030881826646574108,0.07391591307096114,0.04250070734382544,0.10445586680986496,0.07343998949818831,0.0734655212172929
egi,T1-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,5687.679760589319,4828.200000000001,7031.213333333333,5226.093333333333,5677.026666666667,6032.806666666666,806.7133333333331,507.12441801047794,1.2530944603079284e-05,0.03569037506024279,0.08916191476257326,0.0630721439355912,0.06264147791946909
egi,T1-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,22582.27776703499,15077.023333333333,28801.333333333332,20322.4225,22953.004999999997,24568.74166666667,4246.319166666668,3020.53982321479,3.1561032387990983e-06,0.054999068824074744,0.13375709281302411,0.09502813527194864,0.09459476563634915
egi,T2-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,34973.98372928177,29415.070000000003,43876.189999999995,32853.5675,34519.030000000006,36798.855833333335,3945.2883333333375,2542.9867684052997,4.075715283205094e-06,0.03070297672149196,0.0727108123595368,0.051997462819783694,0.05180375063360415
egi,T3-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,22536.220750460405,15069.726666666667,28774.546666666665,20331.510833333334,22897.391666666666,24436.440833333338,4104.930000000004,2996.780632357041,5.5469815185159715e-06,0.054547647444305736,0.1329761837860866,0.09346143487858496,0.0936617553696591
egi,T3-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,5993.843439226519,4945.276666666668,7183.796666666666,5643.19,5969.95,6326.953333333334,683.7633333333342,492.7484681880285,2.0856066940602602e-05,0.03396201419395794,0.08220909891694063,0.05707310869775184,0.0577480739362168
egi,T4-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,7523.419553406998,6505.063333333334,8814.766666666666,7328.005,7512.335,7715.9575,387.9525000000003,340.8997400715065,3.323169713255985e-05,0.017203402627151528,0.04531180770280574,0.030771282040749238,0.03109549745690217
egi,T1-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,9.443921270718231,9.174333333333335,9.731333333333334,9.374583333333334,9.437666666666667,9.501666666666667,0.12708333333333321,0.09531598191684257,0.6730871568066298,0.00401826359042085,0.010092839529738431,0.006689308612235089,0.006933470577464789
egi,T1-2,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.8599622467771635,5.5409999999999995,6.192333333333333,5.795583333333333,5.865333333333334,5.9275,0.13191666666666713,0.10117908286798076,0.417651229252302,0.006858075375856618,0.017266166334710908,0.011909689357796046,0.012011310356121189
egi,T2-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.809054327808472,5.490333333333333,6.0569999999999995,5.742999999999999,5.814333333333334,5.870666666666667,0.12766666666666726,0.09323660004595329,0.8280458401031308,0.006437966287559527,0.016050220015953576,0.010875995612006948,0.011121393971840017
egi,T3-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.856895948434622,5.514666666666667,6.192666666666667,5.789083333333333,5.856999999999999,5.92275,0.1336666666666666,0.09969797286149171,0.7321588487219153,0.006711352687203692,0.01702232270118066,0.011371227362295535,0.01170163425022663
egi,T3-2,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,9.10630202578269,8.702333333333334,9.724,8.987083333333333,9.0965,9.211083333333335,0.22400000000000198,0.1592891036321202,1.1383606036390426,0.0070153841428077495,0.017492183235425826,0.012311640554555036,0.012273069310929537
egi,T4-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,8.968555248618785,8.583333333333334,9.514999999999999,8.8665,8.958,9.065666666666665,0.19916666666666494,0.14267779108402956,2.242282309038674,0.00631212490595062,0.01590867058615744,0.01131881955873372,0.011179871683613925
egi,T1-1,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,NET 5,MiB/s,1.333425414364641,0.8833333333333334,1.4266666666666667,1.2933333333333334,1.33,1.3766666666666667,0.08333333333333326,0.04867468174425745,0.05345030868033976,0.01569719285434409,0.03650349034891485,0.014549133283470612,0.02224993882890985
egi,T1-2,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,NET 5,MiB/s,1.333024861878453,0.85,1.42,1.2966666666666666,1.3366666666666667,1.373333333333333,0.07666666666666644,0.04649821400215769,0.053466369636621734,0.01467778470389914,0.03488173051523885,0.014340455845342354,0.021299990354826777
