provider,instance,bench_key,bench_name,extracted_name,unit,avg,min,max,std,score_$,std_perc,integral_neg,integral_neg_th_5,integral_neg_th_10,integral_neg_th_20,grad_std_perc
azure,A2-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.4137128549709655,0.24793386459350586,0.8540711402893066,0.13002262588213426,27.78316587327191,0.31428229584806905,0.13769657128045892,0.13758963074039807,0.13698580673197583,0.11773824951090954,0.22921680777413433
azure,A2-2 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.3434480850352991,0.23817310333251954,0.4977283477783203,0.04927321573790228,33.467220736961906,0.14346627011426794,0.06037998077331027,0.05833477125343721,0.04991307848123913,0.024355399314096908,0.09706639069255761
azure,A4-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.34354316341806446,0.2477785587310791,0.5174604892730713,0.048950926088199946,15.906242522623295,0.1424884302780626,0.05912852091355361,0.0564713231028774,0.0465170853405924,0.024152940937865647,0.10088704964079157
azure,B2MS-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.1706364269938803,0.0977022647857666,0.3720059871673584,0.05232157356037597,61.04597271624921,0.306626049795642,0.1351737356150135,0.13489248988091507,0.1332852725240868,0.11525872478200995,0.21672678962498196
azure,B2MS-2 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.17661164996875633,0.08867373466491699,0.40836434364318847,0.05478187403498182,58.980631620334435,0.31018267506516733,0.1352916441669998,0.13490269063918844,0.13228335668214905,0.109399527616772,0.22502699049728994
azure,B4MS-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.142427680221819,0.09836926460266113,0.21847434043884278,0.02028932044776256,36.568266261318,0.14245349229983714,0.059242127111580854,0.0577081572081897,0.0512451144162138,0.022463632429599232,0.09812331026011908
azure,A2-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,10537.480882066277,8525.880000000001,12764.663333333336,749.8516396242195,121120.46990880779,0.07116042705238886,-0.029390635100689955,-0.014260250593803992,-0.0030389505865969072,-0.000294860380983086,0.042361961985979656
azure,A2-2 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,19830.896166909268,15003.003333333332,23358.063333333335,1795.8022603558145,227941.3352518307,0.09055577948879444,-0.03781163390944496,-0.02931222576835293,-0.002756048404816789,-8.57377016072398e-05,0.053289567334677254
azure,A4-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,19831.1891765286,15125.793333333333,22372.429999999997,1727.7107402031156,108367.15397010163,0.08712088442219919,-0.03597270021787034,-0.02661479372677979,-0.0013680924911418778,-2.8435212487380316e-05,0.050710250894023604
azure,B2MS-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,23442.597665176352,18755.88333333333,31291.069999999996,2073.388828290451,244193.72567892034,0.08844535310907292,-0.034441276854890915,-0.027708778856626492,-0.014726156026535044,-0.00175288125129219,0.05434082668059822
azure,B2MS-2 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,23611.001079308287,19086.746666666662,33977.29666666667,2148.399620182439,245947.92790946132,0.09099146677288529,-0.033482020121917005,-0.02554613715432303,-0.014111066156459072,-0.003691788788105577,0.06079076622214683
azure,B4MS-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,38250.49920770878,33261.526666666665,47098.23333333334,1811.944588690163,199221.3500401499,0.04737048211713259,-0.018521676586821356,-0.012586565047479717,-0.003669434571135111,-0.0010855040599371728,0.03086906233180945
azure,A2-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,13.684173976608188,11.725333333333333,15.396333333333333,0.5137631826876256,0.8399668765693543,0.037544332859685614,0.01503050549833245,0.0066000930707988915,0.0005170396363425581,0.0,0.023459790964454823
azure,A2-2 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,13.66078408539544,11.371666666666668,15.603666666666667,0.5577859377695912,0.8414050615038685,0.04083118028092638,0.016212078958550674,0.007789378643002064,0.0014695440212318157,0.0,0.02577904822716047
azure,A4-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,13.670681952662722,11.670666666666667,15.412333333333335,0.5217456024495628,0.39972262490186816,0.038165294478812686,0.014958426291345214,0.006809380853385093,0.0008113783971630497,0.0,0.02430147908815272
azure,B2MS-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.984265275707899,4.6433333333333335,8.698666666666666,0.3222550042012108,1.7406759538136356,0.053850387533679336,0.019519817366517124,0.00974723369552559,0.0021987973104940165,0.001203471360957076,0.03818174953859413
azure,B2MS-2 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.975175909361956,4.365666666666667,7.5616666666666665,0.3328770901886821,1.7433238493189371,0.055710006740910756,0.02021015427709715,0.010967972551183371,0.0010574875793750535,0.0004749796935556406,0.03931849620552274
azure,B4MS-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.937962883654532,4.371333333333333,7.63,0.3410811369264799,0.8771246023902145,0.05744076606901267,0.020705854947113828,0.010230479368450594,0.0015504642452482894,0.001083198646831251,0.039694382396731745
azure,A2-1 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.313998538011695,0.5766666666666667,27.76666666666667,1.9992678361722072,267.97699468978965,0.08575396592362969,-0.02992952336757745,-0.02605546281741451,-0.015011735264332934,-2.048572746195933e-06,0.044063513014847754
azure,A2-2 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.36967976710335,13.840000000000002,28.099999999999998,1.668098139684298,268.6170088172799,0.0713787333120593,-0.029611392723503084,-0.02479746033813504,-0.014845066423037083,-0.0003146880456617803,0.019818736424637596
azure,A4-1 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.277953648915187,0.26333333333333336,27.916666666666668,2.0859234140713383,127.20193250773326,0.08960939803952861,-0.030335631990185172,-0.027260970893042007,-0.014798416072922387,5.589363655514438e-06,0.04581215609789165
azure,B2MS-1 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.35025086934923,15.126666666666665,27.39,1.5959972809765062,243.23177988905448,0.06835032693680804,-0.02859997858627219,-0.022972402868826264,-0.014817771102277354,1.0547017869935631e-05,0.01644530603637569
azure,B2MS-2 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.341824686940967,19.143333333333334,27.50333333333333,1.556255081408499,243.14400715563508,0.06667238325541773,-0.028320588798398775,-0.022893100118094718,-0.016192959226946416,-1.1483833615854012e-05,0.013550159682026847
