provider,instance,bench_key,bench_name,unit,avg,min,max,1st_quartile,2nd_quartile,3rd_quartile,iqr,5_percentile,95_percentile,std,cpr,bdth,dis,speed,pqi
aws,a1.large-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.3406571519064151,0.26358609199523925,0.5460413455963135,0.2673350811004639,0.2778319358825684,0.41445045471191405,0.14711537361145016,0.2645472717285156,0.4632383823394775,0.08160034120422173,0.01982624624095336,0.11300410262081703,0.23953802451398076,0.16821912652578014,0.17358708455352598
aws,a1.large-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.3308432422057101,0.2630903244018555,0.5297938346862793,0.26688523292541505,0.27466521263122556,0.40833282470703125,0.1414475917816162,0.26412464141845704,0.4591972064971924,0.07806898277852037,0.019255076696372327,0.11123680648087303,0.23596970655359198,0.167996667786714,0.17173439360705967
aws,a1.xlarge-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.30464882477811334,0.26276216506958006,0.4847240447998047,0.2666374683380127,0.27747397422790526,0.33437700271606446,0.06773953437805175,0.26340900421142577,0.3925727272033691,0.04366159789342668,0.03546112320417239,0.062251218596452614,0.1433177952523762,0.09870065266885834,0.10142322217256239
aws,m5.large-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.16109599262598612,0.097857666015625,0.3699349880218506,0.09884848594665527,0.10178794860839843,0.23607759475708007,0.1372291088104248,0.09809989929199218,0.2644643783569336,0.07448065871927403,0.018526039151988406,0.21856796445562118,0.4623371289700206,0.3257276709331515,0.3355442547862644
aws,m5.large-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.16460913120473855,0.09777402877807617,0.3741861343383789,0.09866442680358886,0.10141229629516602,0.23745322227478027,0.1387887954711914,0.09790702819824218,0.26781430244445803,0.07645893178672789,0.018930050088544936,0.2193692562619446,0.46448779133418383,0.3277698400928096,0.33720896256297933
aws,m5.xlarge-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.12013305257213786,0.0975876808166504,0.18700885772705078,0.09835219383239746,0.09972906112670898,0.14702963829040527,0.04867744445800781,0.09773317337036133,0.1605366134643555,0.025819404156401597,0.02763060209159171,0.10237377004973461,0.21492340037640753,0.15657018562998398,0.15795578535204202
aws,a1.large-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,21054.87339277549,20359.213333333337,21233.953333333335,20981.943333333333,21117.563333333335,21173.82666666667,191.88333333333867,20686.415333333334,21210.740666666665,171.50583647291145,2.764205650363589e-06,0.003084769224795991,0.008145659832452844,0.005474457872530068,0.005568295643259634
aws,a1.large-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,21024.561938728853,20341.713333333333,21262.61333333333,20923.60666666667,21116.346666666668,21199.38,275.7733333333308,20511.40266666667,21248.839333333333,232.49775397176174,2.768190850758757e-06,0.004428711872474079,0.011058387549254145,0.006211391694368618,0.007232830372032281
aws,a1.xlarge-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,36608.91537722908,35398.479999999996,37823.32666666667,36252.93666666667,36617.91333333333,36967.613333333335,714.6766666666663,35700.58066666667,37441.76,520.7200557814671,3.17955336290573e-06,0.005755664015755674,0.014223859145123906,0.009803589327571943,0.009927704162817174
aws,m5.large-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,15616.037018747142,15549.223333333333,15648.086666666664,15608.6,15616.97,15628.75,20.149999999999636,15569.521333333334,15645.182,20.92892057575414,7.364224345904268e-06,0.000487474024726241,0.0013402197081518732,0.0009375911855820026,0.0009217616394867055
aws,m5.large-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,15616.737544581618,15552.15,15648.346666666666,15609.463333333333,15617.839999999998,15630.5,21.03666666666686,15569.314666666669,15646.112666666668,21.60548279428152,7.363894006139611e-06,0.0005007933249900412,0.0013834824804222798,0.0009467152652054663,0.000943663690205929
aws,m5.xlarge-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,29458.338376771833,28732.506666666664,30155.933333333334,29207.62,29451.210000000003,29717.393333333337,509.7733333333381,28899.256,29989.877999999997,334.1893245717992,7.807636569934885e-06,0.004714966373605465,0.011344473007863556,0.007954682659725666,0.008004707347064896
aws,a1.large-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,9.605407407407407,9.545,9.737,9.570666666666666,9.588333333333333,9.616999999999999,0.046333333333333115,9.556133333333333,9.7244,0.05154460057654775,0.5590347111111111,0.0020304000512336093,0.005366206594922572,0.0018338454731119825,0.003076817373089388
aws,a1.large-2,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,9.587258447488585,9.539666666666667,9.716333333333333,9.557333333333332,9.571333333333333,9.601333333333333,0.04400000000000048,9.545,9.705,0.0447588079035974,0.5579784416438357,0.0017355958453563133,0.0046685721626000525,0.001840635749545643,0.002748267919167336
aws,a1.xlarge-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,9.587227709190673,9.529666666666667,10.748,9.544666666666668,9.557,9.578666666666665,0.033999999999997144,9.534666666666666,9.701933333333333,0.12703150645747488,1.1159533053497943,0.0028140225495252875,0.013250077114127347,0.008345028412380735,0.008136376025344456
aws,m5.large-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.122080821917808,5.046333333333333,5.192666666666667,5.061333333333334,5.1419999999999995,5.152333333333334,0.09100000000000019,5.049150000000001,5.184183333333333,0.04655249945536854,0.5890392945205479,0.0040275714546051545,0.00908859135064143,0.005828490307943356,0.0063148843710633135
aws,m5.large-2,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.119500910746813,5.046666666666667,5.194,5.060666666666667,5.140333333333333,5.151000000000001,0.0903333333333336,5.049,5.181,0.04575702430804704,0.5887426047358835,0.004023616453692906,0.008937790051368931,0.005939267181187752,0.006300224562083196
