provider,instance,bench_key,bench_name,unit,avg,min,max,1st_quartile,2nd_quartile,3rd_quartile,iqr,5_percentile,95_percentile,std,cpr,bdth,dis,speed,pqi
gcp,e2-t1-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.18754320819104747,0.1117337703704834,0.39845590591430663,0.11353898048400879,0.1197847843170166,0.2616585731506348,0.148119592666626,0.11220911026000976,0.32592327594757065,0.0838249495201228,0.013366579534192336,0.2100737475429058,0.4469633975480017,0.3177378798760696,0.3249250083223257
gcp,e2-t1-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.18317259642831676,0.11171984672546387,0.3846290111541748,0.11358227729797363,0.12039985656738281,0.2506417751312256,0.13705949783325197,0.11214271545410157,0.32519157886505123,0.07990300257355124,0.013055077292638993,0.20387504903965736,0.4362170113411079,0.3140323399311359,0.3180414667706337
gcp,e2-t2-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.14267443059357424,0.11132307052612304,0.22457294464111327,0.11306262016296387,0.11567115783691406,0.17792074680328368,0.06485812664031981,0.11170460700988769,0.1955573797225952,0.034514689896147845,0.020337384034530448,0.11572214510100723,0.24191223159296993,0.16986985050462244,0.17583474239953317
gcp,n1-t1-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.1919387302101923,0.11112532615661622,0.3924610137939453,0.11322433948516845,0.12306365966796876,0.2703451156616211,0.15712077617645265,0.11182266712188721,0.3243078279495239,0.08547464889354692,0.023993876786115722,0.2114590300239204,0.44532257142653564,0.31203258147033847,0.3229380609735981
gcp,n1-t1-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.18200950230822685,0.11107916831970215,0.38006176948547366,0.11295173168182374,0.12107441425323487,0.25742402076721194,0.1444722890853882,0.1114757776260376,0.30423709154129025,0.07814245157980196,0.022752643864546822,0.20451653801861458,0.4293317139424424,0.30440893188574025,0.312752394615599
gcp,n1-t2-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.14244836020840615,0.11134696006774902,0.23119649887084961,0.1129232168197632,0.11558952331542968,0.17571258544921875,0.06278936862945556,0.11175397396087647,0.1993613195419311,0.03496412386929849,0.035614369225864875,0.11508670943291661,0.24545122048540918,0.17185178905394877,0.17746323965742483
gcp,e2-t1-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,13409.74201320132,13264.503333333332,13477.326666666668,13382.175000000001,13418.159999999998,13443.458333333332,61.28333333333103,13320.458666666666,13468.537666666667,45.21480147696825,5.314941922807743e-06,0.0013369343965389017,0.0033717875729791223,0.0022747384531457485,0.002327820140887924
gcp,e2-t1-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,13422.559740688355,13249.386666666667,13486.966666666665,13402.925,13433.146666666667,13453.525000000001,50.60000000000218,13328.178666666667,13477.482666666665,44.87490225561238,5.309866476805483e-06,0.0012722283502305466,0.003343244740388918,0.0023466058625134048,0.002320692984377623
gcp,e2-t2-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,25407.89793493635,24534.600000000002,25921.256666666668,25238.86666666667,25426.436666666665,25606.878333333334,368.0116666666654,24913.158666666663,25824.583,279.719407038348,5.610224047854004e-06,0.00438881533129164,0.011009151869022914,0.007596607374255328,0.007664858191523294
gcp,n1-t1-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,13442.44011786893,13286.976666666667,13513.653333333334,13419.095,13449.423333333332,13476.111666666668,57.01666666666824,13356.888333333332,13498.007333333333,43.80150116255991,9.299502092170592e-06,0.0012770874297030452,0.0032584486728964423,0.002297116006109387,0.0022775507029029578
gcp,n1-t1-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,13463.83308309726,13339.176666666666,13511.776666666667,13447.074166666665,13470.759999999998,13488.928333333331,41.85416666666606,13398.180833333334,13504.849166666665,33.432013046066956,9.28472591931768e-06,0.0009744665975123642,0.0024830977062570768,0.0017409157501883852,0.0017328266846526085
