provider,instance,bench_key,bench_name,unit,avg,min,max,1st_quartile,2nd_quartile,3rd_quartile,iqr,5_percentile,95_percentile,std,cpr,bdth,dis,speed,pqi
egi,T1-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.33318856048583984,0.26250386238098145,0.46816096305847166,0.28131153583526614,0.3060656309127807,0.3888564229011535,0.10754488706588738,0.26723049879074096,0.4228011679649353,0.05695332217282277,0.023747015082946778,0.07949219082483858,0.17093420641385804,0.11973387010929507,0.12338675578266389
egi,T1-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.1977422060599694,0.1405567169189453,0.3251749038696289,0.14948660135269165,0.1742943525314331,0.24729619026184083,0.09780958890914918,0.1424973797798157,0.272124445438385,0.051332044697012344,0.014093482510306139,0.12192205883328175,0.2595907354317917,0.18468518754383537,0.1887326606029696
egi,T2-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.16623871465829704,0.14037375450134276,0.21045184135437012,0.14906210899353028,0.1613922119140625,0.18308550119400024,0.03402339220046996,0.14259654760360718,0.19699404954910277,0.018956262240546026,0.023696331342252294,0.05097993030935105,0.11403037059995647,0.07878148973525817,0.08126393021485523
egi,T3-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.19240514923976018,0.14135642051696778,0.32440810203552245,0.14883934259414672,0.15867969989776612,0.2439009428024292,0.09506160020828247,0.14312941789627076,0.2702490353584289,0.05078283397775306,0.02405218289616394,0.12256095826182178,0.26393697974512875,0.19425826661095244,0.19358540153930098
egi,T3-2,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.32388048927600566,0.25467667579650877,0.4594292163848877,0.275557267665863,0.29621233940124514,0.3780835628509522,0.10252629518508916,0.25963142395019534,0.4095777559280395,0.054901333631782887,0.040487652203414916,0.0784194290474996,0.16951108649523147,0.12048708772454733,0.12280586775575945
egi,T4-1,09b85683be2ff3589454eceefca9a640e3fb6508,CPU DUR,s,0.2939791969886193,0.25551743507385255,0.35492911338806155,0.2728298544883728,0.2903269290924072,0.3129975914955139,0.0401677370071411,0.2613713955879211,0.33716107368469234,0.024392011773130558,0.07349950291430665,0.035473632545332506,0.0829718974097165,0.05956876619420154,0.05933809871641685
egi,T1-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,5665.839435897436,4993.92,6479.106666666667,5295.173333333334,5677.026666666667,5933.465,638.2916666666661,5034.543,6367.731666666667,421.38505691138437,1.2579248107250844e-05,0.03038390656203114,0.07437292596778988,0.05272686759831438,0.052494566709378465
egi,T1-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,22628.699241025643,17429.09,27485.123333333333,20637.405833333334,22953.004999999997,24332.474166666667,3695.0683333333327,18484.183333333334,26863.341500000002,2508.834146414583,3.149628674669221e-06,0.0465231867211657,0.11086956964216872,0.07850350050644113,0.07863208562325852
egi,T2-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,34825.24542564103,31887.91333333333,40064.71,32984.26583333333,34519.030000000006,36606.83666666666,3622.5708333333314,32167.877500000002,38209.513999999996,2080.7976046803833,4.09312262577906e-06,0.02636265404123282,0.05974968960730826,0.04209875486255569,0.04273703283703226
egi,T3-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,22580.186015384614,17245.393333333333,27387.86666666667,20547.4925,22897.391666666666,24254.126666666663,3706.634166666663,18689.3485,26834.102166666664,2467.784059005432,5.536181141945775e-06,0.045888781962896,0.10928980201155343,0.07859499083454408,0.07792452493633116
egi,T3-2,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,5992.041938461539,5183.31,6839.330000000001,5668.499166666667,5969.95,6297.79,629.2908333333326,5305.296,6707.863666666666,410.6689958785513,2.0862337294003638e-05,0.02888954694337392,0.06853573457865197,0.04795578935654137,0.048460356959522416
egi,T4-1,11d4515d916b810e82d25d90d9cc29181d2832ce,MEM SPEED,MiB/s,7519.6896,6994.410000000001,8070.353333333333,7355.0008333333335,7512.335,7699.555833333333,344.5549999999994,7084.861666666668,7943.206666666667,251.51226462327045,3.324818088235983e-05,0.013553251767064246,0.033447160455036665,0.0226009801250314,0.02320046411571077
egi,T1-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,9.44163287250384,9.311333333333334,9.617666666666667,9.379833333333334,9.437666666666667,9.494500000000002,0.11466666666666825,9.33,9.576166666666666,0.07538632049474252,0.6729240580890937,0.003304107740827767,0.007984457933572534,0.005418431833681643,0.005568999169360648
egi,T1-2,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.8603564102564105,5.689,6.0183333333333335,5.802,5.865333333333334,5.919583333333334,0.11758333333333404,5.72875,5.981000000000001,0.0779117318071905,0.41767932207179487,0.005566541499535836,0.01329470877758126,0.009256525669975646,0.009372591982364247
egi,T2-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.810161025641025,5.655666666666666,5.960999999999999,5.7547500000000005,5.814333333333334,5.865666666666667,0.11091666666666633,5.6894833333333334,5.9284,0.0734973655886769,0.8282035932389743,0.005300050346403226,0.012649798390151856,0.008796649446657893,0.008915499394404324
egi,T3-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,5.857001025641026,5.6946666666666665,6.020333333333333,5.79825,5.856999999999999,5.912,0.11374999999999957,5.732433333333334,5.986516666666667,0.07656107374498564,0.7321719842133334,0.005441132652548803,0.013071719367951849,0.009233040383188703,0.009248630801229785
egi,T3-2,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,9.101308205128205,8.880999999999998,9.383000000000001,8.996583333333334,9.0965,9.194166666666666,0.19758333333333233,8.904333333333334,9.31285,0.125768991775679,1.1377363361066668,0.005804799338663232,0.013818781755441864,0.009588659988097256,0.00973741369406745
egi,T4-1,277604812f42491cbabe59d60001aaffc925c2b5,CPU BZIP2,seconds,8.965285128205128,8.747333333333332,9.223,8.878916666666667,8.958,9.051,0.17208333333333314,8.792966666666668,9.152550000000002,0.11144667319683273,2.241464726613333,0.005158381103904545,0.012430912302634664,0.008906367085692975,0.008831886830744061
