provider,instance,bench_key,bench_name,extracted_name,unit,avg,min,max,std,score_$,std_perc,integral_neg,integral_neg_th_5,integral_neg_th_10,integral_neg_th_20,grad_std_perc
azure,A2-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.41360113303099333,0.24793386459350586,0.8540711402893066,0.1300582512963225,27.790670662166423,0.3144533244945839,0.1377416082084122,0.13763250471209915,0.13702565583132953,0.11829711771284906,0.22922361386992515
azure,A2-2 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.3439934981094871,0.23817310333251954,0.7587575912475586,0.05173348350788277,33.41415735103458,0.1503908759677106,0.061143651786847386,0.05916207671561622,0.05056535236100725,0.025646889777793058,0.1015834853559043
azure,A4-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.34354316341806446,0.2477785587310791,0.5174604892730713,0.048950926088199946,15.906242522623295,0.1424884302780626,0.05912852091355361,0.0564713231028774,0.0465170853405924,0.024152940937865647,0.10088704964079157
azure,B2MS-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.17054696473918976,0.0977022647857666,0.3720059871673584,0.052297114191873224,61.0779950414036,0.30664347660393126,0.13508623947390802,0.1348009374104044,0.1331811505735891,0.11508729658702502,0.21646035225516252
azure,B2MS-2 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.17663149228036298,0.08867373466491699,0.40836434364318847,0.054767422323057306,58.974005893199035,0.310066011536189,0.1352221863268535,0.13483488418303174,0.13221986369996028,0.10935558656849281,0.22501666463904083
azure,B4MS-1 - eu,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.142427680221819,0.09836926460266113,0.21847434043884278,0.02028932044776256,36.568266261318,0.14245349229983714,0.059242127111580854,0.0577081572081897,0.0512451144162138,0.022463632429599232,0.09812331026011908
azure,A2-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,10536.865947855751,8393.11,12764.663333333336,751.3720033415793,121113.4016994914,0.07130886992962868,-0.029428064089646808,-0.01419890339622056,-0.0030406637367871646,-0.00029504823313871283,0.04250004398750514
azure,A2-2 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,19829.72125607386,15003.003333333332,23358.063333333335,1796.9670610925405,227927.8305295846,0.09061988506480534,-0.03785306715229716,-0.029525083868119868,-0.0027616114259999803,-8.595414129436574e-05,0.05333168177614547
azure,A4-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,19831.1891765286,15125.793333333333,22372.429999999997,1727.7107402031156,108367.15397010163,0.08712088442219919,-0.03597270021787034,-0.02661479372677979,-0.0013680924911418778,-2.8435212487380316e-05,0.050710250894023604
azure,B2MS-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,23442.08370149254,18755.88333333333,31291.069999999996,2074.8950910807102,244188.37189054728,0.08851154690436513,-0.03448407903488999,-0.027757092043370284,-0.014750880262550465,-0.001755732322703738,0.05453100835001851
azure,B2MS-2 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,23610.356407274896,19086.746666666662,33977.29666666667,2148.5046766782384,245941.21257578017,0.0909984008549839,-0.033498393933973324,-0.02555377074185506,-0.014113942573933082,-0.0036922315094674685,0.06080772721948458
azure,B4MS-1 - eu,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,38250.49920770878,33261.526666666665,47098.23333333334,1811.944588690163,199221.3500401499,0.04737048211713259,-0.018521676586821356,-0.012586565047479717,-0.003669434571135111,-0.0010855040599371728,0.03086906233180945
azure,A2-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,13.68322840409956,11.725333333333333,15.396333333333333,0.5135899314434922,0.8400249220512527,0.03753426576506011,0.015015474119718375,0.006616587427448222,0.0005181359646874365,0.0,0.023451178352595983
azure,A2-2 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,13.661152818270166,11.371666666666668,15.603666666666667,0.5581175865353052,0.8413823508504366,0.04085435496987409,0.016224779927928337,0.007797729305331242,0.0014712923770516275,0.0,0.025803840321823462
azure,A4-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,13.670681952662722,11.670666666666667,15.412333333333335,0.5217456024495628,0.39972262490186816,0.038165294478812686,0.014958426291345214,0.006809380853385093,0.0008113783971630497,0.0,0.02430147908815272
azure,B2MS-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.983926865671641,4.6433333333333335,8.698666666666666,0.32237642310043124,1.7407743945576264,0.05387372378326141,0.019523444584193698,0.009844187797004508,0.0022027944860993323,0.0012055045640065928,0.03831491861232224
azure,B2MS-2 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.975348837209302,4.365666666666667,7.5616666666666665,0.3330635607238034,1.7432733971614642,0.05573960111747313,0.020222589896715177,0.010992194776753993,0.0010573016612794239,0.0004749141761492845,0.039352286901478704
azure,B4MS-1 - eu,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.937962883654532,4.371333333333333,7.63,0.3410811369264799,0.8771246023902145,0.05744076606901267,0.020705854947113828,0.010230479368450594,0.0015504642452482894,0.001083198646831251,0.039694382396731745
