provider,instance,bench_key,bench_name,extracted_name,unit,avg,min,max,std,score_$,std_perc,integral_neg,integral_neg_th_5,integral_neg_th_10,integral_neg_th_20,grad_std_perc
aws,a1.large - eu-central-1a,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.3496439625243811,0.2588950634002686,0.7746523380279541,0.09823824262360552,49.141791152748155,0.28096650636933346,0.12416151117839262,0.12403150368249055,0.12151168938458104,0.09517301134422716,0.19786520821643283
aws,a1.large - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.34000805306228843,0.2597354412078857,0.6438236713409424,0.09408572090692774,50.53448125549169,0.2767161543955888,0.123237501946929,0.12315302356070512,0.12181254091030043,0.10389188999889297,0.19744011903749636
aws,a1.xlarge - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.3183822682988629,0.25814113616943357,0.9234545707702637,0.08490819711922358,26.98349169380204,0.2666863251301449,0.08309645338990689,0.0783378765667897,0.06895038024290794,0.06519484900880182,0.15232370561183287
aws,m5.large - eu-central-1a,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.17007959860124758,0.09569010734558106,0.5274240493774414,0.09008832727190794,51.12695611600096,0.5296833248243985,0.23496975462308012,0.23491583287396192,0.2345331232147998,0.2329674518182942,0.3776867596684871
aws,m5.large - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.17383012383551544,0.09633073806762696,0.5668768405914306,0.09303674759013247,50.023850769048494,0.5352164834109382,0.23546070275260667,0.23542621377873085,0.23523225575066267,0.2331656005550211,0.3780766852149643
aws,m5.xlarge - eu-central-1b,09b85683be2ff3589454eceefca9a640e3fb6508,simple-cpu,mean duration,s,0.12330262255286464,0.09298968315124512,0.27878479957580565,0.031719626393743434,35.26142426607706,0.25725021688118593,0.1138092646312219,0.11356226600685466,0.11111954338657529,0.08959810946498933,0.18602858236958741
aws,a1.large - eu-central-1a,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,20957.497538018906,11900.949999999999,21373.670000000002,643.1542027957915,360094.4594161324,0.03068850188955281,-0.006443574749604531,9.640129423460773e-05,9.640129423460773e-05,9.640129423460773e-05,0.02250915423213981
aws,a1.large - eu-central-1b,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,20969.942429099876,16120.176666666666,21439.343333333334,432.46430796957554,360308.28915979166,0.02062305652157858,-0.006218301573995298,9.536877091157985e-05,9.536877091157985e-05,9.536877091157985e-05,0.01408662622402959
aws,a1.xlarge - eu-central-1b,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,36603.57509247842,30684.440000000002,40986.98,817.1480533727615,314463.70354362903,0.02232426890838527,-0.007760439869950954,-0.0012906249696173462,-0.00016335887598521476,-1.569739155279911e-05,0.015264984838455408
aws,m5.large - eu-central-1a,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,15614.770887792849,14115.086666666668,17325.329999999998,129.6598078146442,135780.61641559,0.00830366380309866,-0.0012095442600668835,-0.00012795802303871965,-0.00012795802303871965,7.119042184508947e-06,0.0058243027887451065
aws,m5.large - eu-central-1b,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,15610.346300863132,13418.936666666666,16025.326666666668,136.71201942352823,135742.14174663593,0.00875778261344331,-0.0011732243265896371,-1.0069678089172086e-05,-1.0069678089172086e-05,-1.0069678089172086e-05,0.0062337872803075525
aws,m5.xlarge - eu-central-1b,11d4515d916b810e82d25d90d9cc29181d2832ce,sys-benchmark,memory: speed,MiB/s,29470.99681052199,27792.319999999996,34078.526666666665,509.46089676331854,128134.76874139995,0.017286856635314977,-0.006118987876924871,-0.0006844102938712164,-0.000371882665835774,3.508370064976804e-06,0.012418929849084272
aws,a1.large - eu-central-1a,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,9.6093152486642,9.388,10.041666666666666,0.06780877616662809,1.788070235970346,0.007056566926145361,0.0025814025353567845,0.0,0.0,0.0,0.0031116574578130382
aws,a1.large - eu-central-1b,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,9.590744855967078,9.378666666666666,9.903,0.06096540706570265,1.7915324453139034,0.006356691579358592,0.0022532778782123767,0.0,0.0,0.0,0.0028296486653513904
aws,a1.xlarge - eu-central-1b,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,9.660639950678176,9.366666666666667,11.546333333333335,0.3637068819711743,0.889285320222821,0.037648321832514015,0.009090411718195577,0.008648739472052556,0.008534799642651476,0.0,0.019894264133464686
aws,m5.large - eu-central-1a,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.1312453760789145,4.6066666666666665,10.123666666666667,0.1906923432060122,1.6946475049606575,0.03716297491735455,0.0052389532472689624,0.00211085061303118,0.001291531762053911,0.0011996859958542598,0.026427977862716102
aws,m5.large - eu-central-1b,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,5.12482120838471,4.931333333333334,6.000333333333334,0.0721648144840125,1.696771813168058,0.014081430658682061,0.004773976499987089,0.0008801908920353988,0.00035505516214548173,0.0,0.00962827697295044
aws,m5.xlarge - eu-central-1b,277604812f42491cbabe59d60001aaffc925c2b5,nench-benchmark,cpu - bzip2,seconds,4.893752363337444,4.414666666666666,5.213333333333334,0.06162581078661223,0.8884442374994612,0.012592752189157489,0.0036843818219278036,0.0005824502222421777,0.0,0.0,0.008586897644191977
aws,a1.large - eu-central-1a,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,13.283754623921086,0.0033333333333333335,15.34,1.4374377128286988,228.2432065965822,0.10821019760785053,-0.030694528428305466,-0.020434951615400435,-0.009068062492147594,3.175382790546274e-05,0.06565874518562578
aws,a1.large - eu-central-1b,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,13.473294238683128,5.3,15.656666666666666,1.1244914255149254,231.49990100830115,0.08346076361090683,-0.025157972288756734,-0.01767387692922029,-0.007313697254464478,7.589721279310654e-05,0.04620798144093533
aws,a1.xlarge - eu-central-1b,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,13.367291409782162,3.3433333333333333,15.343333333333334,1.350621335000484,114.83927327991547,0.10103926768680314,-0.02888022962670736,-0.019619138023120958,-0.006601137563107627,0.00028017036233079633,0.051432950843125214
aws,m5.large - eu-central-1a,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,13.319675297986025,1.486666666666667,15.353333333333333,1.5062648290776608,115.82326346074804,0.11308570181927877,-0.03255895997956348,-0.021646705957069693,-0.009192163146550204,-1.6230377357750752e-05,0.05732014035824912
aws,m5.large - eu-central-1b,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,13.380863131935882,0.5866666666666666,15.613333333333332,1.6482721868542562,116.35533158205115,0.12318130531657204,-0.03302340285113571,-0.022026630350033993,-0.008483385577913238,0.00019789472410328918,0.06428944890300238
